Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Case Counts,Death Counts,Death Counts(Per 1000),Case Counts(Per 1000)
10301,38001,38.4,20.79,63.04,16.17,48.43,51.57,43.8,19.28,0.04,7.75,0,4.17,24.86,38662.0,70065.0,16.31,45.29,39.81,6.57,39.73,0.37,5.09,0.1,7.15,14466.0,2.51,43.52,56.48,16494.0,87.7,12.3,43.81,56.19,523500.0,7.7,92.3,15.06,24.85,21.01,20.52,18.56,22.72,20.7,29.78,10.3,0.27,36.72,2.24,12068.0,238.0,6.2629930791294965,317.5705902476251
10302,17942,35.4,24.62,64.63,10.75,51.94,48.06,29.9,24.32,0,6.63,0,0.77,37.82,29470.0,72394.0,13.6,42.32,53.79,9.09,29.08,0,1.37,0.56,4.46,5982.0,2.98,48.99,51.01,6754.0,88.57,11.43,57.32,42.68,431700.0,6.29,93.71,14.73,34.82,22.16,19.24,9.06,24.4,7.79,17.61,11.65,0,62.95,0,6860.0,76.0,4.235871140341099,382.3431055623676
10303,27164,34.7,26.19,62.96,10.85,48.73,51.27,17.22,31.0,0.08,7.62,0,3.56,39.95,27542.0,70315.0,20.54,46.02,51.54,5.33,34.56,0.17,4.3,0.56,2.05,8490.0,3.19,45.2,54.8,9521.0,89.17,10.83,62.1,37.9,354000.0,5.35,94.65,18.18,29.81,26.3,17.58,8.13,25.24,5.12,24.41,20.26,0,49.69,0.53,9140.0,104.0,3.8285966720659697,336.4747459873362
10304,42133,39.4,21.84,63.78,14.38,48.62,51.38,41.44,25.27,0.06,9.56,0,0.62,22.65,34991.0,64394.0,18.4,46.7,44.69,5.76,40.46,0.54,3.85,0.41,4.27,14928.0,2.72,45.6,54.4,16454.0,90.73,9.27,51.41,48.59,542000.0,7.78,92.22,17.55,28.81,21.68,20.24,11.73,29.7,22.71,30.45,22.01,0.24,24.12,0.47,13844.0,324.0,7.689934255808986,328.5785488809247
10305,42968,40.5,20.24,62.43,17.34,48.36,51.64,59.21,6.45,0.04,17.18,0,2.48,14.35,35412.0,77136.0,10.6,43.63,46.18,11.01,34.78,0.31,4.79,0.28,2.17,15379.0,2.74,51.41,48.59,16800.0,91.54,8.46,67.94,32.06,493200.0,7.12,92.88,15.82,27.79,23.63,21.67,11.09,35.74,41.7,38.44,6.38,0,13.37,0.1,13880.0,186.0,4.328802830013033,323.03109290634893
10306,54318,42.2,20.4,61.17,18.43,48.06,51.94,68.18,3.09,0.06,8.54,0,2.54,17.42,38181.0,83309.0,10.04,44.54,55.96,7.87,28.17,0.02,2.2,0.17,4.66,19704.0,2.73,53.9,46.1,21077.0,93.49,6.51,69.79,30.21,557500.0,5.77,94.23,10.74,33.25,24.3,18.21,13.5,24.49,48.49,31.28,4.14,0,15.75,0.34,20152.0,321.0,5.909643212194853,371.0004050222762
10307,15053,40.3,23.11,63.03,13.86,50.69,49.31,85.56,0.11,0,4.54,0,0.89,8.9,45889.0,108808.0,5.11,43.32,70.01,6.01,17.79,0,0.91,1.07,4.21,5068.0,2.96,58.53,41.47,5292.0,95.77,4.23,78.93,21.07,728000.0,3.66,96.34,7.53,25.78,24.73,27.26,14.7,12.53,49.1,26.25,6.2,0,18.45,0,5294.0,43.0,2.8565734405101972,351.69069288513913
10308,28901,42.9,20.22,62.49,17.29,48.23,51.77,83.29,1.46,0.08,5.36,0,0.45,9.31,43496.0,110478.0,3.35,47.3,58.49,8.01,23.85,0.38,1.19,0.04,6.73,10245.0,2.82,60.34,39.66,11158.0,91.82,8.18,81.64,18.36,573900.0,5.18,94.82,4.43,29.86,24.37,23.49,17.85,19.3,61.1,21.1,7.91,0,9.79,0.11,10106.0,104.0,3.5984914016816028,349.67648178263727
10309,33896,40.5,22.38,61.22,16.4,49.56,50.44,87.29,0.38,0.35,2.38,0,0.54,8.76,44207.0,102730.0,7.47,46.61,64.87,7.11,21.02,0.09,0.85,0.3,5.59,11750.0,2.87,59.88,40.12,12125.0,96.91,3.09,82.45,17.55,610800.0,4.71,95.29,8.97,29.63,25.98,21.94,13.47,14.94,62.84,20.58,8.08,0,8.39,0.12,12645.0,101.0,2.979702619778145,373.0528675949964
10310,24168,39.3,23.87,62.14,13.99,47.77,52.23,41.79,19.5,0.07,6.19,0,1.58,30.83,37030.0,86895.0,15.15,40.81,54.83,7.11,26.99,0.1,6.77,0.05,3.25,8678.0,2.76,51.53,48.47,9732.0,89.17,10.83,59.89,40.11,503000.0,6.15,93.85,12.88,28.09,26.41,17.05,15.57,25.82,18.57,20.03,13.84,0.18,47.2,0.18,8403.0,81.0,3.3515392254220457,347.6911618669315
