Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
09/26/2020,233,4,19,26,66,50,32,40,11,7,1,0,105,128,0,103,6,17,74,14,19,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,2,5,1,6,1,3,1,0,13,6,0,6,0,4,7,1,1
04/15/2020,631,31,149,21,92,107,111,124,86,46,44,0,306,325,0,259,25,194,76,35,42,0,1,1,3,2,5,5,14,0,8,23,0,9,3,15,4,0,0,1,6,13,17,32,35,31,14,0,67,82,0,52,1,71,23,2,0
09/24/2020,408,5,21,51,122,87,61,44,28,9,6,0,199,208,1,185,8,40,135,7,33,0,0,0,1,1,1,1,1,0,2,3,0,4,0,1,0,0,0,0,0,2,4,5,6,4,0,0,8,13,0,6,0,7,6,2,0
04/24/2021,412,10,47,75,84,96,62,49,29,12,5,0,229,183,0,118,16,142,84,14,38,0,0,0,0,2,4,2,2,0,4,6,0,4,0,2,4,0,0,1,4,7,14,6,7,2,6,0,29,18,0,9,0,27,8,1,2
09/08/2020,368,1,21,36,120,80,55,39,23,10,5,0,181,187,0,191,10,45,97,5,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,4,2,4,4,4,0,7,14,0,11,0,5,4,0,1
01/05/2021,1601,16,89,170,470,298,242,184,134,65,37,1,810,789,2,601,59,275,447,53,166,0,0,0,1,2,3,6,4,0,3,13,0,5,1,5,5,0,0,0,7,4,5,13,21,22,17,0,46,43,0,20,5,36,25,2,1
05/28/2020,524,22,70,41,111,90,98,69,62,27,26,0,262,258,4,244,10,131,68,10,61,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,8,15,0,34,36,0,31,2,23,12,0,2
07/08/2020,308,4,28,37,100,67,37,33,21,11,2,0,158,150,0,99,11,81,69,10,38,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,2,6,3,0,2,5,6,4,0,14,14,0,11,1,8,6,0,2
07/31/2021,270,5,29,34,73,64,39,22,19,11,8,0,142,127,1,61,12,76,84,11,26,0,1,1,0,1,0,1,1,0,2,3,0,1,0,4,0,0,0,1,4,5,7,3,5,2,2,0,15,14,0,5,1,17,5,0,1
08/01/2020,141,5,22,7,45,27,17,25,11,6,3,0,69,72,0,54,0,34,33,6,14,0,0,0,0,1,0,2,2,0,3,2,0,2,0,2,1,0,0,0,3,2,6,5,0,4,2,0,11,11,0,10,0,10,2,0,0
04/11/2020,397,33,142,7,53,71,65,83,54,38,26,0,184,213,0,114,17,158,60,15,33,0,0,1,1,6,7,10,8,0,15,18,0,8,2,21,2,0,0,2,3,7,16,29,33,32,20,0,57,85,0,38,5,74,17,6,2
06/04/2020,319,15,31,27,91,63,54,40,26,10,8,0,161,158,0,172,7,76,31,7,26,0,0,2,1,0,6,4,2,0,6,9,0,6,1,8,0,0,0,0,5,1,6,5,10,3,1,0,17,14,0,13,1,10,6,0,1
